#{"t_start": 1773582493.0100296, "env_id": "None"}
r,l,t
-1.13875,12,15.985884
-1.18875,12,15.99849
-0.71375,12,16.010945
-0.916875,12,16.023281
-0.9325,12,16.03541
-0.940312,12,16.047432
-0.95125,12,16.060178
-1.154375,12,16.071305
-0.927812,12,16.082775
3.07875,4,16.086851
-1.17,12,16.098834
-0.63875,12,16.112125
-0.891875,12,16.129036
-0.916875,12,16.14166
-0.698125,12,16.158085
-0.945,12,16.180356
-1.0075,12,16.203549
-0.665312,12,16.227446
3.081562,7,16.243321
-1.16625,12,16.26807
-0.904375,12,16.299433
-1.278125,12,16.326453
-0.030938,12,16.347081
-0.912187,12,16.369479
-0.815312,12,16.384608
-0.590312,12,16.412025
-0.115313,12,16.43123
-0.940312,12,16.449564
-0.937187,12,16.470058
-1.193437,12,16.493445
-0.9075,12,16.513189
-1.187187,12,16.531761
-1.090312,12,16.549417
-0.865312,12,16.564502
-0.7225,12,16.578193
-0.887187,12,16.588994
-1.16375,12,16.60214
-0.981875,12,16.615438
-0.923125,12,16.631334
-1.216875,12,16.642337
-0.931875,12,16.658856
-0.63875,12,16.670341
-0.935625,12,16.680621
3.16875,10,16.689863
-0.736562,12,16.703072
-1.127812,12,16.717167
-1.180937,12,16.727752
-1.1325,12,16.738782
-0.852812,12,16.749149
-0.9225,12,16.759731
3.10125,3,16.763181
-0.815312,12,16.781137
-1.160625,12,16.797312
-0.924687,12,16.809237
-0.95125,12,16.821102
-0.924687,12,16.832036
-0.948125,12,16.843701
-0.937187,12,16.858433
-0.960625,12,16.876963
-0.837187,12,16.894311
-0.6325,12,16.919872
-0.668437,12,16.945302
-0.640312,12,16.974864
-0.602812,12,17.002082
-0.9325,12,17.027049
-0.905937,12,17.051673
-0.943437,12,17.064832
-0.902812,12,17.080554
-0.915312,12,17.095264
-0.890312,12,17.113884
-0.62,12,17.131696
-0.66375,12,17.15191
-0.621562,12,17.168929
-1.166875,12,17.184613
-0.923125,12,17.198781
-0.909062,12,17.215302
3.10125,3,17.222087
-0.685625,12,17.243613
3.08625,2,17.246525
-0.9075,12,17.26746
-0.945,12,17.296283
-0.905937,12,17.322076
-1.24125,12,17.345826
-0.6575,12,17.370533
-0.70125,12,17.399014
-0.890312,12,17.427187
3.08625,2,17.433086
-0.909062,12,17.453659
-0.959062,12,17.478724
-0.9075,12,17.507544
-0.1825,12,17.535339
-0.9075,12,17.56029
-0.929375,12,17.584249
-0.169375,12,17.602078
-1.130937,12,17.61347
-1.168437,12,17.630038
-0.916875,12,17.641236
-0.87625,12,17.651488
-0.659062,12,17.662771
-1.20125,12,17.67702
-1.099687,12,17.697811
-0.9325,12,17.717637
-0.941875,12,17.737418
-0.649687,12,17.750338
-0.912187,12,17.766574
3.07125,6,17.778032
-1.17,12,17.804852
-0.90125,12,17.823515
-0.955937,12,17.839504
-0.65125,12,17.850589
-0.93875,12,17.861827
-0.871562,12,17.873275
-1.137187,12,17.88416
-1.116875,12,17.894478
3.0825,3,17.897403
-0.949687,12,17.908234
-0.92625,12,17.920856
-0.866875,12,17.936442
-0.948125,12,17.953413
3.17625,8,17.964642
-1.12625,12,17.979264
-0.821562,12,17.99854
-0.9325,12,18.013628
-0.989687,12,18.026131
-0.649687,12,18.042095
-0.67625,12,18.058806
-0.871562,12,18.073733
-0.88875,12,18.08587
-1.17,12,18.10214
3.10125,3,18.107027
-0.934062,12,18.125856
-0.880937,12,18.142011
-0.671562,12,18.158631
-0.941875,12,18.173381
-0.898125,12,18.183392
-1.173125,12,18.193451
-0.948125,12,18.203639
-1.191875,12,18.213599
3.115,11,18.224262
-1.204375,12,18.23688
-0.905937,12,18.258075
-1.173125,12,18.278611
3.08625,2,18.282494
-1.141875,12,18.301718
-0.95125,12,18.33033
3.07625,3,18.334455
-0.93875,12,18.344368
-0.593437,12,18.355099
-0.891875,12,18.365804
-1.141875,12,18.376474
-0.645,12,18.396607
-0.168438,12,18.420533
-0.93875,12,18.433844
-1.191875,12,18.446887
3.0825,3,18.451591
-0.677813,12,18.462476
-0.91375,12,18.476057
-0.871562,12,18.487004
-0.943437,12,18.499485
-0.61375,12,18.518656
-0.937187,12,18.535668
-0.958437,12,18.552747
-0.834062,12,18.563397
-0.91375,12,18.573697
3.10125,3,18.57693
-1.141875,12,18.587032
-0.63875,12,18.599369
-0.945,12,18.610059
-0.949687,12,18.620949
-0.895,12,18.631302
-1.180937,12,18.642942
-0.699687,12,18.653319
-0.641875,12,18.663462
-1.0,12,18.673545
-0.943437,12,18.683696
-0.075625,12,18.693815
-0.941875,12,18.705613
-0.966875,12,18.72095
-1.152812,12,18.737958
3.11625,4,18.743638
-1.1575,12,18.757966
-0.952812,12,18.779824
-1.187187,12,18.793564
-1.209062,12,18.805104
-1.146562,12,18.818311
-1.2475,12,18.830902
-0.937187,12,18.843632
-1.174687,12,18.856048
-1.195,12,18.867279
-1.095,12,18.879752
-0.82,12,18.892504
-0.602812,12,18.904316
-0.61375,12,18.919258
-0.921562,12,18.931987
-0.8825,12,18.943385
-0.930937,12,18.959766
-0.852812,12,18.983203
-0.92625,12,19.009505
-0.480937,12,19.024027
-0.930937,12,19.03516
-0.985,12,19.046152
-0.884062,12,19.057317
-0.691875,12,19.068377
-0.6075,12,19.080153
-0.66375,12,19.092173
-1.129375,12,19.115571
-1.093437,12,19.141532
-0.699687,12,19.168218
-0.041875,12,19.194572
-0.654375,12,19.221924
-1.202812,12,19.235528
-0.92625,12,19.247869
-1.160625,12,19.259423
-0.655312,12,19.273253
-0.890312,12,19.291411
-0.893437,12,19.312341
-0.129375,12,19.324758
-0.060625,12,19.336094
-0.9325,12,19.347173
-0.80125,12,19.35819
-0.685,12,19.370528
-0.829375,12,19.382355
-1.148125,12,19.393646
